开仓时间,平仓时间,开仓价,平仓价,方向,开仓前资金_USD,投入(允许杠杆),实际涨跌幅,收益_USD,平仓后资金_USD,平仓类型
2018-01-10 00:00:00+08:00,2018-01-10 23:55:00+08:00,14655.01,14399.95,多,1000.0,1000.0,-1.74%,-19.67719846,980.32280154,正常平仓
2018-01-22 00:00:00+08:00,2018-01-22 23:55:00+08:00,11420.99,10330.0,多,980.32280154,980.32280154,-9.55%,-95.75871784,884.56408369,正常平仓
2018-02-03 00:00:00+08:00,2018-02-03 23:55:00+08:00,9070.0,9173.0,多,884.56408369,980.32280154,1.14%,8.86221199,893.42629568,正常平仓
2018-02-16 00:00:00+08:00,2018-02-16 23:55:00+08:00,9811.01,10039.98,多,893.42629568,980.32280154,2.33%,20.59078035,914.01707603,正常平仓
2018-02-28 00:00:00+08:00,2018-02-28 23:55:00+08:00,10570.0,10506.85,多,914.01707603,980.32280154,-0.60%,-8.10187857,905.91519746,正常平仓
2018-03-13 00:00:00+08:00,2018-03-13 23:55:00+08:00,9174.22,9051.0,多,905.91519746,980.32280154,-1.34%,-15.4008534,890.51434406,正常平仓
2018-03-25 00:00:00+08:00,2018-03-25 23:55:00+08:00,8950.0,8480.0,多,890.51434406,980.32280154,-5.25%,-53.65723185,836.85711221,正常平仓
2018-04-07 00:00:00+08:00,2018-04-07 23:55:00+08:00,6583.0,7010.0,多,836.85711221,980.32280154,6.49%,61.23862048,898.09573269,正常平仓
2018-04-19 00:00:00+08:00,2018-04-19 23:55:00+08:00,7994.0,8239.02,多,898.09573269,980.32280154,3.07%,27.7485685,925.84430119,正常平仓
2018-05-01 00:00:00+08:00,2018-05-01 23:55:00+08:00,9318.41,8915.09,多,925.84430119,980.32280154,-4.33%,-44.62055177,881.22374941,正常平仓
2018-05-14 00:00:00+08:00,2018-05-14 23:55:00+08:00,8625.5,8789.12,多,881.22374941,980.32280154,1.90%,16.31443361,897.53818302,正常平仓
2018-05-26 00:00:00+08:00,2018-05-26 23:55:00+08:00,7500.02,7542.77,多,897.53818302,980.32280154,0.57%,3.3256863,900.86386933,正常平仓
2018-06-08 00:00:00+08:00,2018-06-08 23:55:00+08:00,7690.38,7627.51,多,900.86386933,980.32280154,-0.82%,-10.25603386,890.60783546,正常平仓
2018-06-20 00:00:00+08:00,2018-06-20 23:55:00+08:00,6739.04,6750.62,多,890.60783546,980.32280154,0.17%,-0.57175432,890.03608115,正常平仓
2018-07-02 00:00:00+08:00,2018-07-02 23:55:00+08:00,6316.14,6630.08,多,890.03608115,980.32280154,4.97%,46.39956111,936.43564226,正常平仓
2018-07-15 00:00:00+08:00,2018-07-15 23:55:00+08:00,6242.26,6385.46,多,936.43564226,980.32280154,2.29%,20.20153277,956.63717503,正常平仓
2018-07-27 00:00:00+08:00,2018-07-27 23:55:00+08:00,8208.29,8152.56,多,956.63717503,980.32280154,-0.68%,-8.89966502,947.73751002,正常平仓
2018-08-09 00:00:00+08:00,2018-08-09 23:55:00+08:00,6473.78,6446.0,多,947.73751002,980.32280154,-0.43%,-6.45417483,941.28333519,正常平仓
2018-08-21 00:00:00+08:00,2018-08-21 23:55:00+08:00,6427.44,6416.75,多,941.28333519,980.32280154,-0.17%,-3.88177341,937.40156178,正常平仓
2018-09-02 00:00:00+08:00,2018-09-02 23:55:00+08:00,7167.02,7214.24,多,937.40156178,980.32280154,0.66%,4.19542446,941.59698624,正常平仓
2018-09-15 00:00:00+08:00,2018-09-15 23:55:00+08:00,6479.99,6542.22,多,941.59698624,980.32280154,0.96%,7.14656682,948.74355305,正常平仓
2018-09-27 00:00:00+08:00,2018-09-27 23:55:00+08:00,6542.55,6498.97,多,948.74355305,980.32280154,-0.67%,-8.77391556,939.96963749,正常平仓
2018-10-10 00:00:00+08:00,2018-10-10 23:55:00+08:00,6643.78,6588.99,多,939.96963749,980.32280154,-0.82%,-10.32618105,929.64345644,正常平仓
2018-10-22 00:00:00+08:00,2018-10-22 23:55:00+08:00,6645.0,6563.49,多,929.64345644,980.32280154,-1.23%,-14.26073511,915.38272134,正常平仓
2018-11-03 00:00:00+08:00,2018-11-03 23:55:00+08:00,6424.8,6374.0,多,915.38272134,980.32280154,-0.79%,-9.99341949,905.38930185,正常平仓
2018-11-16 00:00:00+08:00,2018-11-16 23:55:00+08:00,5675.13,5645.62,多,905.38930185,980.32280154,-0.52%,-7.34368316,898.04561869,正常平仓
2018-11-28 00:00:00+08:00,2018-11-28 23:55:00+08:00,3779.06,4249.82,多,898.04561869,980.32280154,12.46%,119.68263908,1017.72825777,正常平仓
2018-12-11 00:00:00+08:00,2018-12-11 23:55:00+08:00,3428.79,3353.01,多,1017.72825777,1017.72825777,-2.21%,-24.79894579,992.92931198,正常平仓
2018-12-23 00:00:00+08:00,2018-12-23 23:55:00+08:00,3830.05,3907.51,多,992.92931198,1017.72825777,2.02%,18.21220886,1011.14152084,正常平仓
2019-01-04 00:00:00+08:00,2019-01-04 23:55:00+08:00,3807.37,3725.28,多,1011.14152084,1017.72825777,-2.16%,-24.24991576,986.89160508,正常平仓
2019-01-17 00:00:00+08:00,2019-01-17 23:55:00+08:00,3591.16,3597.62,多,986.89160508,1017.72825777,0.18%,-0.51174974,986.37985534,正常平仓
2019-01-29 00:00:00+08:00,2019-01-29 23:55:00+08:00,3420.5,3426.62,多,986.37985534,1017.72825777,0.18%,-0.52155563,985.8582997,正常平仓
2019-02-11 00:00:00+08:00,2019-02-11 23:55:00+08:00,3628.73,3643.0,多,985.8582997,1017.72825777,0.39%,1.65646467,987.51476438,正常平仓
2019-02-23 00:00:00+08:00,2019-02-23 23:55:00+08:00,3954.63,3941.99,多,987.51476438,1017.72825777,-0.32%,-5.58779916,981.92696522,正常平仓
2019-03-08 00:00:00+08:00,2019-03-08 23:55:00+08:00,3876.54,3908.37,多,981.92696522,1017.72825777,0.82%,6.00421169,987.93117691,正常平仓
2019-03-20 00:00:00+08:00,2019-03-20 23:55:00+08:00,3997.93,4015.82,多,987.93117691,1017.72825777,0.45%,2.20756196,990.13873887,正常平仓
2019-04-01 00:00:00+08:00,2019-04-01 23:55:00+08:00,4097.0,4145.07,多,990.13873887,1017.72825777,1.17%,9.58332325,999.72206212,正常平仓
2019-04-14 00:00:00+08:00,2019-04-14 23:55:00+08:00,5051.71,5062.34,多,999.72206212,1017.72825777,0.21%,-0.2014255,999.52063662,正常平仓
2019-04-26 00:00:00+08:00,2019-04-26 23:55:00+08:00,5432.0,5285.07,多,999.52063662,1017.72825777,-2.70%,-29.82699271,969.69364391,正常平仓
2019-05-09 00:00:00+08:00,2019-05-09 23:55:00+08:00,5953.07,6058.91,多,969.69364391,1017.72825777,1.78%,15.72737262,985.42101653,正常平仓
2019-05-21 00:00:00+08:00,2019-05-21 23:55:00+08:00,7833.71,7890.49,多,985.42101653,1017.72825777,0.72%,5.02584401,990.44686054,正常平仓
2019-06-02 00:00:00+08:00,2019-06-02 23:55:00+08:00,8530.21,8678.22,多,990.44686054,1017.72825777,1.74%,15.2926521,1005.73951264,正常平仓
2019-06-15 00:00:00+08:00,2019-06-15 23:55:00+08:00,8385.93,8750.71,多,1005.73951264,1017.72825777,4.35%,41.86409494,1047.60360758,正常平仓
2019-06-27 00:00:00+08:00,2019-06-27 23:55:00+08:00,12889.05,11830.0,多,1047.60360758,1047.60360758,-8.22%,-88.35748421,959.24612337,正常平仓
2019-07-10 00:00:00+08:00,2019-07-10 23:55:00+08:00,12338.62,12367.91,多,959.24612337,1047.60360758,0.24%,0.07468201,959.32080537,正常平仓
2019-07-22 00:00:00+08:00,2019-07-22 23:55:00+08:00,10443.54,10238.43,多,959.32080537,1047.60360758,-1.96%,-22.95242149,936.36838388,正常平仓
2019-08-03 00:00:00+08:00,2019-08-03 23:55:00+08:00,10612.1,10733.05,多,936.36838388,1047.60360758,1.14%,9.51358378,945.88196766,正常平仓
2019-08-16 00:00:00+08:00,2019-08-16 23:55:00+08:00,10092.96,10386.04,多,945.88196766,1047.60360758,2.90%,27.96633731,973.84830497,正常平仓
2019-08-28 00:00:00+08:00,2019-08-28 23:55:00+08:00,10190.73,10239.73,多,973.84830497,1047.60360758,0.48%,2.62119152,976.46949649,正常平仓
2019-09-10 00:00:00+08:00,2019-09-10 23:55:00+08:00,10321.26,10175.07,多,976.46949649,1047.60360758,-1.42%,-17.22442306,959.24507344,正常平仓
2019-09-22 00:00:00+08:00,2019-09-22 23:55:00+08:00,10038.43,9990.64,多,959.24507344,1047.60360758,-0.48%,-7.38829653,951.8567769,正常平仓
2019-10-04 00:00:00+08:00,2019-10-04 23:55:00+08:00,8108.98,8148.0,多,951.8567769,1047.60360758,0.48%,2.62501766,954.48179457,正常平仓
2019-10-17 00:00:00+08:00,2019-10-17 23:55:00+08:00,7953.06,8069.39,多,954.48179457,1047.60360758,1.46%,12.8919649,967.37375947,正常平仓
2019-10-29 00:00:00+08:00,2019-10-29 23:55:00+08:00,9376.22,9340.06,多,967.37375947,1047.60360758,-0.39%,-6.44253623,960.93122324,正常平仓
2019-11-11 00:00:00+08:00,2019-11-11 23:55:00+08:00,8800.0,8723.59,多,960.93122324,1047.60360758,-0.87%,-11.49110037,949.44012287,正常平仓
2019-11-23 00:00:00+08:00,2019-11-23 23:55:00+08:00,7125.22,7291.2,多,949.44012287,1047.60360758,2.33%,21.95860972,971.39873259,正常平仓
2019-12-05 00:00:00+08:00,2019-12-05 23:55:00+08:00,7466.78,7336.99,多,971.39873259,1047.60360758,-1.74%,-20.59093158,950.80780101,正常平仓
2019-12-18 00:00:00+08:00,2019-12-18 23:55:00+08:00,6696.32,6823.49,多,950.80780101,1047.60360758,1.90%,17.45680541,968.26460642,正常平仓
2019-12-30 00:00:00+08:00,2019-12-30 23:55:00+08:00,7395.03,7262.08,多,968.26460642,1047.60360758,-1.80%,-21.21433119,947.05027524,正常平仓
2020-01-12 00:00:00+08:00,2020-01-12 23:55:00+08:00,8099.16,8152.7,多,947.05027524,1047.60360758,0.66%,4.50642652,951.55670175,正常平仓
2020-01-24 00:00:00+08:00,2020-01-24 23:55:00+08:00,8357.81,8506.44,多,951.55670175,1047.60360758,1.78%,16.19355163,967.75025338,正常平仓
2020-02-06 00:00:00+08:00,2020-02-06 23:55:00+08:00,9484.22,9786.88,多,967.75025338,1047.60360758,3.19%,30.97252456,998.72277794,正常平仓
2020-02-18 00:00:00+08:00,2020-02-18 23:55:00+08:00,9635.27,9830.68,多,998.72277794,1047.60360758,2.03%,18.8058431,1017.52862104,正常平仓
2020-03-01 00:00:00+08:00,2020-03-01 23:55:00+08:00,8650.0,8557.8,多,1017.52862104,1047.60360758,-1.07%,-13.5580673,1003.97055374,正常平仓
