信号,信号类型,开仓时间,平仓时间,开仓价,平仓价,方向,名义资金（U）,投入(允许杠杆),实际涨跌幅,收益（U）,平仓后资金（U）,平仓类型
毕宿,星宿,2018-01-08 00:00:00+08:00,2018-01-08 17:10:00+08:00,16439.64,15265.0,多,1000.0,1300.0,-7.15%,-95.48,904.52,止损平仓
参宿,星宿,2018-01-10 00:00:00+08:00,2018-01-10 23:55:00+08:00,14655.01,14399.95,多,1000.0,800.0,-1.74%,-15.58,984.42,正常平仓
闭,建星,2018-01-10 00:00:00+08:00,2018-01-10 23:55:00+08:00,14655.01,14399.95,多,1000.0,1000.0,-1.74%,-19.48,980.52,正常平仓
轸宿,星宿,2018-01-17 00:00:00+00:00,2018-01-17 23:55:00+00:00,10899.99,10988.79,多,1000.0,1500.0,0.81%,9.05,1009.05,正常平仓
氐宿,星宿,2018-01-20 00:00:00+08:00,2018-01-20 23:55:00+08:00,11383.16,12539.05,多,1009.05,807.24,10.15%,80.15,1089.21,正常平仓
闭,建星,2018-01-22 00:00:00+08:00,2018-01-22 23:55:00+08:00,11420.99,10330.0,多,1089.21,1089.21,-9.55%,-106.18,983.03,正常平仓
尾宿,星宿,2018-01-23 00:00:00+00:00,2018-01-23 16:55:00+00:00,10760.05,11334.96,多,1089.21,871.37,5.34%,44.66,1133.86,止盈平仓
闭,建星,2018-02-03 00:00:00+08:00,2018-02-03 23:55:00+08:00,9070.0,9173.0,多,1133.86,1133.86,1.14%,10.48,1144.34,正常平仓
毕宿,星宿,2018-02-05 00:00:00+08:00,2018-02-05 16:10:00+08:00,8419.96,7827.23,多,1144.34,1487.64,-7.04%,-107.69,1036.65,止损平仓
参宿,星宿,2018-02-07 00:00:00+08:00,2018-02-07 21:20:00+08:00,7299.99,8442.97,多,1144.34,915.47,15.66%,141.2,1285.54,止盈平仓
轸宿,星宿,2018-02-14 00:00:00+00:00,2018-02-14 23:10:00+00:00,8535.17,9464.6,多,1285.54,1928.32,10.89%,205.62,1491.16,止盈平仓
闭,建星,2018-02-16 00:00:00+08:00,2018-02-16 23:55:00+08:00,9811.01,10039.98,多,1491.16,1491.16,2.33%,31.62,1522.78,正常平仓
氐宿,星宿,2018-02-17 00:00:00+08:00,2018-02-17 23:55:00+08:00,10035.05,10731.48,多,1522.78,1218.23,6.94%,81.86,1604.64,正常平仓
尾宿,星宿,2018-02-20 00:00:00+00:00,2018-02-20 22:20:00+00:00,11147.11,11774.01,多,1604.64,1283.71,5.62%,69.39,1674.04,止盈平仓
闭,建星,2018-02-28 00:00:00+08:00,2018-02-28 23:55:00+08:00,10570.0,10506.85,多,1674.04,1674.04,-0.60%,-13.5,1660.53,正常平仓
毕宿,星宿,2018-03-05 00:00:00+08:00,2018-03-05 23:55:00+08:00,11150.0,11515.61,多,1674.04,2176.25,3.28%,66.68,1740.72,正常平仓
参宿,星宿,2018-03-07 00:00:00+08:00,2018-03-07 23:55:00+08:00,10974.08,10679.56,多,1740.72,1392.58,-2.68%,-40.24,1700.48,正常平仓
闭,建星,2018-03-13 00:00:00+08:00,2018-03-13 23:55:00+08:00,9174.22,9051.0,多,1740.72,1740.72,-1.34%,-27.0,1713.72,正常平仓
轸宿,星宿,2018-03-14 00:00:00+00:00,2018-03-14 23:55:00+00:00,9151.92,8170.0,多,1740.72,2611.08,-10.73%,-285.21,1455.51,正常平仓
氐宿,星宿,2018-03-17 00:00:00+08:00,2018-03-17 23:05:00+08:00,8539.0,7892.92,多,1740.72,1392.58,-7.57%,-108.13,1632.59,止损平仓
尾宿,星宿,2018-03-20 00:00:00+00:00,2018-03-20 23:55:00+00:00,8595.01,8909.98,多,1740.72,1392.58,3.66%,48.03,1788.75,正常平仓
闭,建星,2018-03-25 00:00:00+08:00,2018-03-25 23:55:00+08:00,8950.0,8480.0,多,1788.75,1788.75,-5.25%,-97.55,1691.2,正常平仓
毕宿,星宿,2018-04-02 00:00:00+08:00,2018-04-02 23:55:00+08:00,6445.0,7020.72,多,1788.75,2325.38,8.93%,202.53,1991.28,正常平仓
参宿,星宿,2018-04-04 00:00:00+08:00,2018-04-04 23:55:00+08:00,7370.01,6785.0,多,1991.28,1593.03,-7.94%,-129.6,1861.68,正常平仓
闭,建星,2018-04-07 00:00:00+08:00,2018-04-07 23:55:00+08:00,6583.0,7010.0,多,1991.28,1991.28,6.49%,124.79,2116.07,正常平仓
轸宿,星宿,2018-04-11 00:00:00+00:00,2018-04-11 23:55:00+00:00,6839.56,6953.79,多,2116.07,3174.11,1.67%,46.27,2162.34,正常平仓
氐宿,星宿,2018-04-14 00:00:00+08:00,2018-04-14 23:55:00+08:00,8125.41,7955.01,多,2162.34,1729.87,-2.10%,-39.85,2122.49,正常平仓
尾宿,星宿,2018-04-17 00:00:00+00:00,2018-04-17 23:55:00+00:00,8064.92,7885.02,多,2162.34,1729.87,-2.23%,-42.16,2120.18,正常平仓
闭,建星,2018-04-19 00:00:00+08:00,2018-04-19 23:55:00+08:00,7994.0,8239.02,多,2162.34,2162.34,3.07%,61.64,2223.98,正常平仓
毕宿,星宿,2018-04-30 00:00:00+08:00,2018-04-30 23:55:00+08:00,9331.52,9318.06,多,2223.98,2891.17,-0.14%,-10.23,2213.75,正常平仓
闭,建星,2018-05-01 00:00:00+08:00,2018-05-01 23:55:00+08:00,9318.41,8915.09,多,2223.98,2223.98,-4.33%,-100.78,2123.2,正常平仓
参宿,星宿,2018-05-02 00:00:00+08:00,2018-05-02 23:55:00+08:00,8915.08,9155.0,多,2223.98,1779.18,2.69%,44.07,2268.05,正常平仓
轸宿,星宿,2018-05-09 00:00:00+00:00,2018-05-09 23:55:00+00:00,9178.0,9310.0,多,2268.05,3402.08,1.44%,41.72,2309.77,正常平仓
氐宿,星宿,2018-05-12 00:00:00+08:00,2018-05-12 23:55:00+08:00,8575.21,8313.13,多,2309.77,1847.82,-3.06%,-60.27,2249.5,正常平仓
闭,建星,2018-05-14 00:00:00+08:00,2018-05-14 23:55:00+08:00,8625.5,8789.12,多,2309.77,2309.77,1.90%,38.9,2348.67,正常平仓
尾宿,星宿,2018-05-15 00:00:00+00:00,2018-05-15 23:55:00+00:00,8663.37,8462.0,多,2348.67,1878.94,-2.32%,-47.55,2301.12,正常平仓
闭,建星,2018-05-26 00:00:00+08:00,2018-05-26 23:55:00+08:00,7500.02,7542.77,多,2348.67,2348.67,0.57%,8.44,2357.11,正常平仓
毕宿,星宿,2018-05-28 00:00:00+08:00,2018-05-28 23:55:00+08:00,7342.0,7220.12,多,2357.11,3064.24,-1.66%,-57.22,2299.88,正常平仓
参宿,星宿,2018-05-30 00:00:00+08:00,2018-05-30 23:55:00+08:00,7430.53,7324.81,多,2357.11,1885.69,-1.42%,-30.75,2326.36,正常平仓
轸宿,星宿,2018-06-06 00:00:00+00:00,2018-06-06 23:55:00+00:00,7626.64,7658.84,多,2357.11,3535.66,0.42%,7.48,2364.59,正常平仓
闭,建星,2018-06-08 00:00:00+08:00,2018-06-08 23:55:00+08:00,7690.38,7627.51,多,2364.59,2364.59,-0.82%,-24.27,2340.33,正常平仓
氐宿,星宿,2018-06-09 00:00:00+08:00,2018-06-09 23:55:00+08:00,7633.57,7610.0,多,2364.59,1891.67,-0.31%,-9.8,2354.79,正常平仓
尾宿,星宿,2018-06-12 00:00:00+00:00,2018-06-12 23:55:00+00:00,6872.0,6530.0,多,2364.59,1891.67,-4.98%,-97.97,2266.62,正常平仓
闭,建星,2018-06-20 00:00:00+08:00,2018-06-20 23:55:00+08:00,6739.04,6750.62,多,2364.59,2364.59,0.17%,-0.91,2363.69,正常平仓
毕宿,星宿,2018-06-25 00:00:00+08:00,2018-06-25 23:55:00+08:00,5769.86,6290.0,多,2364.59,3073.97,9.01%,270.24,2634.84,正常平仓
参宿,星宿,2018-06-27 00:00:00+08:00,2018-06-27 23:55:00+08:00,6188.01,6110.09,多,2634.84,2107.87,-1.26%,-30.93,2603.91,正常平仓
闭,建星,2018-07-02 00:00:00+08:00,2018-07-02 23:55:00+08:00,6316.14,6630.08,多,2634.84,2634.84,4.97%,125.24,2760.07,正常平仓
轸宿,星宿,2018-07-04 00:00:00+00:00,2018-07-04 23:55:00+00:00,6511.01,6586.98,多,2760.07,4140.11,1.17%,39.54,2799.62,正常平仓
